tokenizer,n_gram,train_tokens,train_characters,tokenizer_fit_s,model_fit_s,val_bpc,val_avg_nll,val_ppl,test_bpc,test_avg_nll,test_ppl
word,1-gram,167285,1000000,0.2546,0.1606,1.8182,7.5133,1832.2907,1.8492,7.5365,1875.2114
word,2-gram,167285,1000000,0.2441,0.4045,2.0834,8.6093,5482.3211,2.1166,8.6266,5577.8116
word,3-gram,167285,1000000,0.2338,1.1234,2.2889,9.4584,12815.1994,2.3244,9.4734,13009.5581
char,1-gram,1000000,1000000,0.2521,0.9429,4.128,2.8613,17.4842,4.1243,2.8587,17.4391
char,2-gram,1000000,1000000,0.2567,1.7971,3.4432,2.3866,10.8768,3.4374,2.3826,10.8333
char,3-gram,1000000,1000000,0.2651,2.7074,2.9397,2.0376,7.6724,2.952,2.0462,7.7382
bpe,1-gram,175087,1000000,30.197,0.1697,2.1644,7.551,1902.5761,2.2865,7.5838,1966.0281
bpe,2-gram,175087,1000000,28.0132,0.384,2.4879,8.6797,5882.1306,2.63,8.7233,6144.5718
bpe,3-gram,175087,1000000,27.2096,1.1598,2.7077,9.4464,12662.7027,2.8544,9.4675,12932.0364
