tokenizer,n_gram,train_tokens,train_characters,tokenizer_fit_s,model_fit_s,val_bpc,val_avg_nll,val_ppl,test_bpc,test_avg_nll,test_ppl
word,1-gram,15301749,90000000,4.1726,12.8609,1.7472,7.1389,1260.0284,1.772,7.1807,1313.833
word,2-gram,15301749,90000000,4.1765,31.1703,1.7719,7.2397,1393.7425,1.8176,7.3658,1580.9607
word,3-gram,15301749,90000000,4.0902,71.3331,2.2391,9.1487,9402.4564,2.294,9.296,10894.5073
char,1-gram,90000000,90000000,6.8667,69.5887,4.1213,2.8567,17.4034,4.1248,2.8591,17.4463
char,2-gram,90000000,90000000,6.8687,134.6101,3.4327,2.3794,10.798,3.4373,2.3826,10.8328
char,3-gram,90000000,90000000,6.8882,205.0005,2.8646,1.9856,7.2833,2.8845,1.9994,7.3843
bpe,1-gram,17293940,90000000,190.7295,14.6333,2.0256,7.2962,1474.6999,2.0706,7.3387,1538.7161
bpe,2-gram,17293940,90000000,187.574,32.5649,1.8379,6.6201,750.0232,1.9002,6.7345,840.9479
bpe,3-gram,17293940,90000000,108.1356,88.0856,2.2747,8.1937,3617.9367,2.351,8.3323,4155.8914
